hwd;pronSampa
present(2);p r\ i: z E n t
fever;f i: v 3:r
trivialized(2);t r\ I v j @ l aI z d
subdivide;s V b d @ v aI d
yarberry;j A r\ b E r\ i:
lenis;l i: n @ s
enforceable;E n f O: r\ s @ b @ l
maule;m O: l
kondracki;k @ n d r\ A t s k i:
widened;w aI d @ n d
drones;d r\ @U n z
alagoas;{ l @ g @U z
burgy;b 3:r dZ i:
klaus;k l aU s
mitra;m I t r\ @
eyewitness;aI w I t n @ s
kenyan;k E n j @ n
disenfranchised;d i s i n f r\ { n tS aI z d
provident;p r\ A v i d @ n t
toledo;t @ l i: 4 @U
unsupported;@ n s @ p O: r\ 4 i d
serrao;s E r\ aU
filippi;f i l I p i:
spout;s p aU t
nieder;n i: 4 3:r
mountainous;m aU n t @ n @ s
garde;g A r\ d
