hwd;pronSampa;ipa
meakin;m i: k i n;miːkin
kolander;k A l @ n d 3:r;kɑləndɜ:r
hourigan;aU r\ i g { n;?ɹigæn
leaphart;l i: p h A r\ t;liːphɑɹt
macrodantin;m { k r\ @U d { n t i n;mækɹoʊdæntin
disorganisation;d i s O: r\ g @ n @ z eI S @ n;disOːɹgənəz?ʃən
precipitating;p r\ i s I p @ t eI 4 i N;pɹisɪpət?ɾiŋ
lifers;l aI f 3:r z;l?fɜ:rz
beguelin;b eI g @ l i n;b?gəlin
vena;v i: n @;viːnə
quarry;k w O: r\ i:;kwOːɹiː
lack;l { k;læk
zwolinski;z v @ l I n s k i:;zvəlɪnskiː
lackner;l { k n 3:r;læknɜ:r
soderblom;s @U 4 3:r b l A m;soʊɾɜ:rblɑm
appleman;{ p @ l m @ n;æpəlmən
watershed;w O: 4 3:r S E d;wOːɾɜ:rʃɛd
beast;b i: s t;biːst
stones;s t @U n z;stoʊnz
brainerd;b r\ eI n 3:r d;bɹ?nɜ:rd
macdonough;m @ k d A n @ f;məkdɑnəf
c-span;s i: s p { n;siːspæn
enforcers;E n f O: r\ s 3:r z;ɛnfOːɹsɜ:rz
eula;j u l @;julə
kuttner;k V t n 3:r;kʌtnɜ:r
awakens;@ w eI k @ n z;əw?kənz
milltown;m I l t aU n;mɪlt?n
cathy's;k { T i: z;kæθiːz
candelaria;k A n d E l A r\ i: @;kɑndɛlɑɹiːə
lemery;l E m 3:r i:;lɛmɜ:riː
jubilation;dZ u b @ l eI S @ n;?ubəl?ʃən
desperately(2);d E s p r\ @ t l i:;dɛspɹətliː
yie;j i:;jiː
deposed;d i p @U z d;dipoʊzd
ur(2);U r\;ʊɹ
ignorance;I g n 3:r @ n s;ɪgnɜ:rəns
fortson;f O: r\ t s @ n;fOːɹtsən
eisai;aI s aI;?s?
harmon's;h A r\ m @ n z;hɑɹmənz
shielding;S i: l d i N;ʃiːldiŋ
contradiction;k A n t r\ @ d I k S @ n;kɑntɹədɪkʃən
mallek;m { l i k;mælik
auerbach;aU 3:r b A k;?ɜ:rbɑk
werner;w 3:r n 3:r;wɜ:rnɜ:r
cresses;k r\ E s @ z;kɹɛsəz
tishler;t I S l 3:r;tɪʃlɜ:r
propes;p r\ @U p s;pɹoʊps
metaxas;m @ t { k s @ s;mətæksəs
rickabaugh;r\ I k @ b O:;ɹɪkəbOː
swiping;s w aI p i N;sw?piŋ
hammersmith;h { m 3:r s m I T;hæmɜ:rsmɪθ
practicing;p r\ { k t @ s i N;pɹæktəsiŋ
hadline;h { d l aI n;hædl?n
haldeman's;h A l d m @ n z;hɑldmənz
longleaf;l O: N l i: f;lOːŋliːf
lampl;l { m p @ l;læmpəl
june;dZ u n;?un
amoruso;{ m 3:r u s @U;æmɜ:rusoʊ
goddam;g A d d { m;gɑddæm
tift;t I f t;tɪft
bethlehem;b E T l i h E m;bɛθlihɛm
new-hampshirites;n u h { m p S 3:r aI t s;nuhæmpʃɜ:r?ts
hogge;h A g;hɑg
kem;k E m;kɛm
light;l aI t;l?t
kovacevic;k @ v @ tS E v i k;kəvə?ɛvik
scenarios;s i n E r\ i: @U z;sinɛɹiːoʊz
parkman;p A r\ k m @ n;pɑɹkmən
proximity;p r\ A k s I m @ 4 i:;pɹɑksɪməɾiː
pushes(2);p U S i z;pʊʃiz
races(2);r\ eI s i z;ɹ?siz
ruppel;r\ V p @ l;ɹʌpəl
aesthete;E s T i: t;ɛsθiːt
bouse;b aU s;b?s
pumpkins(2);p V m k @ n z;pʌmkənz
corrupting;k 3:r V p t i N;kɜ:rʌptiŋ
ace;eI s;?s
snowboarder;s n @U b O: r\ 4 3:r;snoʊbOːɹɾɜ:r
castell;k eI s t @ l;k?stəl
vanscyoc;v { n s i: A k;vænsiːɑk
testosterone;t E s t A s t 3:r @U n;tɛstɑstɜ:roʊn
aftereffect;{ f t 3:r @ f E k t;æftɜ:rəfɛkt
hingham;h I N @ m;hɪŋəm
round;r\ aU n d;ɹ?nd
garn;g A r\ n;gɑɹn
inactive;i n { k t i v;inæktiv
gradation;g r\ eI d eI S @ n;gɹ?d?ʃən
culminated;k V l m @ n eI 4 @ d;kʌlmən?ɾəd
presenting;p r\ i z E n t i N;pɹizɛntiŋ
kaska;k A s k @;kɑskə
mattke;m { t k i:;mætkiː
laub;l O: b;lOːb
perplex;p 3:r p l E k s;pɜ:rplɛks
longitude;l A n dZ @ t u d;lɑn?ətud
tropeano;t r\ @U p i: n @U;tɹoʊpiːnoʊ
eurosid;j u r\ @ s i d;juɹəsid
wye;w aI;w?
digenova;d i: dZ E n @U v @;diː?ɛnoʊvə
boardroom;b O: r\ d r\ u m;bOːɹdɹum
peirce;p I r\ s;pɪɹs
ziglar;z I g l 3:r;zɪglɜ:r
callula;k { l u l @;kælulə
guajardo;g w A j A r\ 4 @U;gwɑjɑɹɾoʊ
farcical;f A r\ s @ k @ l;fɑɹsəkəl
cynic;s I n i k;sɪnik
wandrey;w A n d r\ i:;wɑndɹiː
coppersmith;k A p 3:r s m I T;kɑpɜ:rsmɪθ
arrests;3:r E s t s;ɜ:rɛsts
clotilda;k l @ t I l d @;klətɪldə
tenacity;t @ n { s i 4 i:;tənæsiɾiː
muffy;m V f i:;mʌfiː
kiyoshi;k i: @U S i:;kiːoʊʃiː
guba;g u b @;gubə
gershwin's;g 3:r S w i n z;gɜ:rʃwinz
uproot;@ p r\ u t;əpɹut
secchia;s E k i: @;sɛkiːə
valium;v eI l i: @ m;v?liːəm
contrarian;k A n t r\ E r\ i: @ n;kɑntɹɛɹiːən
quartz;k w O: r\ t s;kwOːɹts
vernacular;v 3:r n { k j @ l 3:r;vɜ:rnækjəlɜ:r
wazir;w A z I r\;wɑzɪɹ
yahoo;j A h u;jɑhu
fernao;f 3:r n aU;fɜ:rn?
swezey;s w E z i:;swɛziː
entitle;E n t aI 4 @ l;ɛnt?ɾəl
technicians;t E k n I S @ n z;tɛknɪʃənz
chevron(2);S E v r\ A n;ʃɛvɹɑn
kofi;k @U f i:;koʊfiː
brandtner;b r\ { n t n 3:r;bɹæntnɜ:r
kinnear;k I n I r\;kɪnɪɹ
protestants;p r\ A 4 @ s t @ n t s;pɹɑɾəstənts
careen;k 3:r i: n;kɜ:riːn
sprague's;s p r\ eI g z;spɹ?gz
d'souza;d i s u z @;disuzə
tolstoy;t @U l s t OI;toʊlst?
neighbour's;n eI b 3:r z;n?bɜ:rz
uncollectable;@ n k @ l E k t @ b @ l;ənkəlɛktəbəl
sewerage;s u 3:r i dZ;suɜ:ri?
alito;@ l i: 4 @U;əliːɾoʊ
knill;n I l;nɪl
ambassadorships;{ m b { s @ 4 3:r S I p s;æmbæsəɾɜ:rʃɪps
fiechter;f I k t 3:r;fɪktɜ:r
bounciness;b aU n s i: n @ s;b?nsiːnəs
lantana;l { n t { n @;læntænə
chang-ming;tS A N m I N;?ɑŋmɪŋ
hi-fi;h aI f aI;h?f?
diplomats';d I p l @ m { t s;dɪpləmæts
kruschke;k r\ V S k;kɹʌʃk
veltre;v E l t 3:r;vɛltɜ:r
chatsworth;tS { t s w 3:r T;?ætswɜ:rθ
illinois;I l @ n OI;ɪlən?
abut;@ b V t;əbʌt
changers;tS eI n dZ 3:r z;??n?ɜ:rz
gleamed;g l i: m d;gliːmd
starbird;s t A r\ b 3:r d;stɑɹbɜ:rd
tappet;t { p @ t;tæpət
knin;k eI E n aI E n;k?ɛn?ɛn
blelloch;b l E l A k;blɛlɑk
entangled;E n t { N g @ l d;ɛntæŋgəld
transmark;t r\ { n z m A r\ k;tɹænzmɑɹk
melantha;m i l { n D @;milænðə
nevada's(2);n @ v A 4 @ z;nəvɑɾəz
spokesmen;s p @U k s m i n;spoʊksmin
oilseed;OI l s i: d;?lsiːd
croon;k r\ u n;kɹun
coonan;k u n @ n;kunən
biosensors;b aI @U s E n s 3:r z;b?oʊsɛnsɜ:rz
kiker;k aI k 3:r;k?kɜ:r
culprits;k V l p r\ i t s;kʌlpɹits
scheunemann;S OI n m @ n;ʃ?nmən
transpired;t r\ { n s p aI 3:r d;tɹænsp?ɜ:rd
taul;t O: l;tOːl
marched;m A r\ tS t;mɑɹ?t
jeanette;dZ @ n E t;?ənɛt
block's;b l A k s;blɑks
separate(2);s E p 3:r i t;sɛpɜ:rit
handbills;h { n d b I l z;hændbɪlz
salzer;s eI l z 3:r;s?lzɜ:r
burying;b E r\ i: i N;bɛɹiːiŋ
walle;w O: l;wOːl
montblanc(2);m @U n t b l A N k;moʊntblɑŋk
hamlett;h { m l i t;hæmlit
chameleon;tS @ m E l i: @ n;?əmɛliːən
malpass;m { l p @ s;mælpəs
minns;m I n z;mɪnz
teska;t E s k @;tɛskə
vicks;v I k s;vɪks
ned;n E d;nɛd
harner;h A r\ n 3:r;hɑɹnɜ:r
plaintive;p l eI n t i v;pl?ntiv
cuevas;k w E v A z;kwɛvɑz
disobedient;d I s @ b i: 4 i: @ n t;dɪsəbiːɾiːənt
wheeldon(2);h w i: l d @ n;hwiːldən
travelers(2);t r\ { v l 3:r z;tɹævlɜ:rz
fennimore;f E n i m O: r\;fɛnimOːɹ
giamatti;dZ i: @ m A 4 i:;?iːəmɑɾiː
nissin;n I s i n;nɪsin
insubstantiated;i n s @ b s t { n tS i: eI 4 @ d;insəbstæn?iː?ɾəd
tarheel;t A r\ h i: l;tɑɹhiːl
similack;s I m @ l { k;sɪməlæk
mardis(2);m A r\ 4 i: s;mɑɹɾiːs
nuzzi;n u t s i:;nutsiː
devito;d i v i: 4 @U;diviːɾoʊ
seismologist;s aI z m A l @ dZ @ s t;s?zmɑlə?əst
vision's;v I Z @ n z;vɪʒənz
buechele;b j u k @ l;bjukəl
keeney;k i: n i:;kiːniː
oooh;u;u
sanches;s A n tS E s;sɑn?ɛs
slaughtering;s l O: 4 3:r i N;slOːɾɜ:riŋ
asimov's;{ s i m A v z;æsimɑvz
cristobal;k r\ I s t @ b @ l;kɹɪstəbəl
televisa's;t E l @ v i: z @ z;tɛləviːzəz
cleaners;k l i: n 3:r z;kliːnɜ:rz
bivins;b I v i n z;bɪvinz
militants;m I l @ t @ n t s;mɪlətənts
heeren;h I r\ @ n;hɪɹən
ali;A l i:;ɑliː
operational;A p 3:r eI S @ n @ l;ɑpɜ:r?ʃənəl
estrich;E s t r\ i k;ɛstɹik
keeffe;k i: f;kiːf
chandelier;S { n d @ l I r\;ʃændəlɪɹ
us(2);j u E s;juɛs
derives(2);d i r\ aI v z;diɹ?vz
dye;d aI;d?
specker;s p E k 3:r;spɛkɜ:r
descriptions;d i s k r\ I p S @ n z;diskɹɪpʃənz
roughness;r\ V f n @ s;ɹʌfnəs
agua;A g w @;ɑgwə
chen;tS E n;?ɛn
implication;I m p l @ k eI S @ n;ɪmplək?ʃən
probst;p r\ A b s t;pɹɑbst
condenser;k @ n d E n s 3:r;kəndɛnsɜ:r
caltabiano;k A l t A b i: A n @U;kɑltɑbiːɑnoʊ
oratory;O: r\ @ t O: r\ i:;OːɹətOːɹiː
dombrosky;d @ m b r\ @U s k i:;dəmbɹoʊskiː
oldsters;@U l d s t 3:r z;oʊldstɜ:rz
e's;i: z;iːz
precincts;p r\ i: s I N k t s;pɹiːsɪŋkts
disunity;d i s j u n @ 4 i:;disjunəɾiː
bertin;b 3:r t i n;bɜ:rtin
worthey;w 3:r D i:;wɜ:rðiː
shappell;S { p @ l;ʃæpəl
bartlebaugh;b A r\ 4 @ l b O:;bɑɹɾəlbOː
audi's(2);aU 4 i: z;?ɾiːz
edwardson;E d w O: r\ d s @ n;ɛdwOːɹdsən
generalizations(2);dZ E n r\ @ l @ z eI S @ n z;?ɛnɹələz?ʃənz
bygones;b aI g O: n z;b?gOːnz
dorotea(2);d O: r\ @ 4 eI @;dOːɹəɾ?ə
espeseth;E s p i s i T;ɛspisiθ
keske;k E s k;kɛsk
dirksen;d 3:r k s @ n;dɜ:rksən
cocke;k @U k;koʊk
endocrinologists;E n d @U k r\ @ n A l @ dZ @ s t s;ɛndoʊkɹənɑlə?əsts
gerstenberger;g 3:r s t @ n b 3:r g 3:r;gɜ:rstənbɜ:rgɜ:r
poisonous;p OI z @ n @ s;p?zənəs
hein;h aI n;h?n
ronan;r\ @U n @ n;ɹoʊnən
boris;b O: r\ i s;bOːɹis
pretzel;p r\ E t z @ l;pɹɛtzəl
generalship;dZ E n 3:r @ l S I p;?ɛnɜ:rəlʃɪp
capitalizing;k { p i 4 @ l aI z i N;kæpiɾəl?ziŋ
arcieri;A r\ tS I r\ i:;ɑɹ?ɪɹiː
glaeser;g l eI z 3:r;gl?zɜ:r
enshrined;E n S r\ aI n d;ɛnʃɹ?nd
condition;k @ n d I S @ n;kəndɪʃən
rockford;r\ A k f 3:r d;ɹɑkfɜ:rd
mccannon;m @ k { n @ n;məkænən
manteufel;m { n t OI f @ l;mænt?fəl
crusading;k r\ u s eI 4 i N;kɹus?ɾiŋ
diedre;d i: d r\ @;diːdɹə
widhalm;w I d h A m;wɪdhɑm
larsen;l A r\ s @ n;lɑɹsən
borucki;b 3:r V t s k i:;bɜ:rʌtskiː
instructed;i n s t r\ V k t @ d;instɹʌktəd
summiteers;s V m i t I r\ z;sʌmitɪɹz
stylistically;s t aI l I s t i k l i:;st?lɪstikliː
tiemann;t i: m @ n;tiːmən
retrofitted;r\ E t r\ @U f I 4 i d;ɹɛtɹoʊfɪɾid
co-wife;k @U w aI f;koʊw?f
retaken;r\ i: t eI k @ n;ɹiːt?kən
nitriles;n aI t r\ @ l z;n?tɹəlz
sweney;s w E n i:;swɛniː
enforceable;E n f O: r\ s @ b @ l;ɛnfOːɹsəbəl
progression;p r\ @ g r\ E S @ n;pɹəgɹɛʃən
fridays(2);f r\ aI d eI z;fɹ?d?z
vaal;v A l;vɑl
hewitt;h j u i t;hjuit
whipkey;w I p k i:;wɪpkiː
stock's;s t A k s;stɑks
pinning;p I n i N;pɪniŋ
chattel;tS { 4 @ l;?æɾəl
ostenson;A s t i n s @ n;ɑstinsən
transcends;t r\ { n s E n d z;tɹænsɛndz
remarkably(2);r\ i: m A r\ k @ b l i:;ɹiːmɑɹkəbliː
afield;@ f i: l d;əfiːld
automotive;O: 4 @ m @U 4 i v;Oːɾəmoʊɾiv
chalsty;tS { l s t i:;?ælstiː
deng;d E N;dɛŋ
munroe;m V n r\ @U;mʌnɹoʊ
mitsuru;m i: t s u r\ u;miːtsuɹu
kadish;k eI 4 i S;k?ɾiʃ
headwater;h E d w O: 4 3:r;hɛdwOːɾɜ:r
tullock;t V l @ k;tʌlək
herwig;h 3:r w i g;hɜ:rwig
bowman's;b @U m @ n z;boʊmənz
glimmering;g l I m 3:r i N;glɪmɜ:riŋ
landers;l { n d 3:r z;lændɜ:rz
commonalty;k A m @ n { l @ 4 i:;kɑmənæləɾiː
trigo;t r\ i: g @U;tɹiːgoʊ
resumes(2);r\ i: z u m z;ɹiːzumz
grasmick;g r\ { z m i k;gɹæzmik
patchworks;p { tS w 3:r k s;pæ?wɜ:rks
cockwell's;k A k w E l z;kɑkwɛlz
morriss;m O: r\ i s i z;mOːɹisiz
textured;t E k s tS 3:r d;tɛks?ɜ:rd
wound;w aU n d;w?nd
overallotment;@U v 3:r @ l A t m @ n t;oʊvɜ:rəlɑtmənt
wicker;w I k 3:r;wɪkɜ:r
nonrecurring;n A n r\ i k 3:r i N;nɑnɹikɜ:riŋ
sluga;s l u g @;slugə
faulkner;f O: k n 3:r;fOːknɜ:r
arsenic;A r\ s @ n i k;ɑɹsənik
lovelace;l V v l eI s;lʌvl?s
eckrich;E k r\ i k;ɛkɹik
stocker;s t A k 3:r;stɑkɜ:r
saipan's;s eI p @ n z;s?pənz
medin;m eI d i: n;m?diːn
hoeffner;h @U f n 3:r;hoʊfnɜ:r
guiterrez;g w i: t E r\ E z;gwiːtɛɹɛz
eyelet;aI l @ t;?lət
jillson;dZ I l s @ n;?ɪlsən
instructed(2);i n s t r\ V k t i d;instɹʌktid
pasko;p A s k @U;pɑskoʊ
bimbos;b I m b @U s;bɪmboʊs
flexibly;f l E k s @ b l i:;flɛksəbliː
everybody'd;E v r\ i: b A 4 i: d;ɛvɹiːbɑɾiːd
henrichsen;h E n r\ i k s @ n;hɛnɹiksən
peterpaul;p i: 4 3:r p O: l;piːɾɜ:rpOːl
torray;t O: r\ eI;tOːɹ?
trains;t r\ eI n z;tɹ?nz
jammu;dZ @ m u;?əmu
capitals(2);k { p i 4 @ l z;kæpiɾəlz
struck;s t r\ V k;stɹʌk
tabulations;t { b j @ l eI S @ n z;tæbjəl?ʃənz
panasonic;p { n @ s A n i k;pænəsɑnik
eisenhardt;aI z @ n h A r\ t;?zənhɑɹt
timbers;t I m b 3:r z;tɪmbɜ:rz
mclafferty;m @ k l { f 3:r 4 i:;məklæfɜ:rɾiː
fatuous;f { tS @ w @ s;fæ?əwəs
pleased;p l i: z d;pliːzd
scamper;s k { m p 3:r;skæmpɜ:r
seminaries;s E m @ n E r\ i: z;sɛmənɛɹiːz
commissioned;k @ m I S @ n d;kəmɪʃənd
schuth;S u T;ʃuθ
sundahl;s V n d A l;sʌndɑl
vs(2);v i: E s;viːɛs
handymen;h { n d i: m E n;hændiːmɛn
sharer;S E r\ 3:r;ʃɛɹɜ:r
shoot;S u t;ʃut
metals';m E 4 @ l z;mɛɾəlz
holaway;h @U l @ w eI;hoʊləw?
cuthrell;k V T r\ @ l;kʌθɹəl
reunify;r\ i: u n @ f aI;ɹiːunəf?
greenup;g r\ i: n V p;gɹiːnʌp
naylor;n eI l 3:r;n?lɜ:r
nevarach;n @ v A r\ @ tS;nəvɑɹə?
kaufhold;k aU f h @U l d;k?fhoʊld
oolong;u l O: N;ulOːŋ
spirit(2);s p I r\ i t;spɪɹit
rendell;r\ E n d @ l;ɹɛndəl
cooled;k u l d;kuld
noe;n @U;noʊ
vanwey;v { n w i:;vænwiː
dunja(2);d V n dZ @;dʌn?ə
tranche;t r\ { n tS;tɹæn?
opper;A p 3:r;ɑpɜ:r
concerto;k @ n tS E r\ 4 @U;kən?ɛɹɾoʊ
alcide;{ l s aI d;æls?d
clandestine;k l { n d E s t i n;klændɛstin
tungsten;t V N s t @ n;tʌŋstən
commutes;k @ m j u t s;kəmjuts
steelmakers;s t i: l m eI k 3:r z;stiːlm?kɜ:rz
disciples;d i s aI p @ l z;dis?pəlz
kinston;k I n s t @ n;kɪnstən
wydra;w aI d r\ @;w?dɹə
oases;@U eI s i: z;oʊ?siːz
raisers;r\ eI z 3:r z;ɹ?zɜ:rz
collarbone;k A l 3:r b @U n;kɑlɜ:rboʊn
arehart;{ r\ i h A r\ t;æɹihɑɹt
flounces;f l aU n s i z;fl?nsiz
dyess;d aI @ s;d?əs
hagaman;h { g @ m @ n;hægəmən
repeating;r\ i p i: 4 i N;ɹipiːɾiŋ
grossed;g r\ @U s t;gɹoʊst
snagging;s n { g i N;snægiŋ
cole's;k @U l z;koʊlz
orndorff;O: r\ n d O: r\ f;OːɹndOːɹf
thermedics;T 3:r m E 4 i k s;θɜ:rmɛɾiks
neibert;n i: b 3:r t;niːbɜ:rt
joliffe's(2);dZ @U l i f s;?oʊlifs
canasta;k @ n { s t @;kənæstə
ogden;A g d @ n;ɑgdən
fredericksen(2);f r\ E d r\ i k s @ n;fɹɛdɹiksən
gundy;g V n d i:;gʌndiː
havener;h { v i: n 3:r;hæviːnɜ:r
jacket(2);dZ { k i t;?ækit
giza;g I z @;gɪzə
uyeda;aI i: 4 @;?iːɾə
tranced;t r\ { n s t;tɹænst
rosenwasser;r\ @U z @ n w O: s 3:r;ɹoʊzənwOːsɜ:r
mcneill;m @ k n i: l;məkniːl
decesaris;d i s E s 3:r i s;disɛsɜ:ris
spindrift;s p I n d r\ I f t;spɪndɹɪft
westward;w E s t w 3:r d;wɛstwɜ:rd
weigle;w i: g @ l;wiːgəl
kashiwagi;k { S i w { g i:;kæʃiwægiː
orran;O: r\ A n;Oːɹɑn
condracky's;k A n d r\ { k i: z;kɑndɹækiːz
budny;b V d n i:;bʌdniː
hartel;h A r\ 4 @ l;hɑɹɾəl
